px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0.0001	0.0001	0	0	0	0	0	0	0	0	0	0
0.346278	-0.346254	0	0	0	0	0	0	0	0	0	2.0624
1.54059	-0.133901	0.79194	-5.55112e-17	0	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	0.974197
1.63987	0.0162871	1.47234	-0.0847045	-0.0462025	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	6.8029
3.86779	-0.13416	1.72307	-0.0549648	0.00276169	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	1.91923
3.94075	0.0671117	1.92463	0.295002	0.294458	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	5.5258
6.83044	0.413111	2.31962	-0.0499098	0.396999	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	3.01515
6.75373	0.441319	2.49509	0.0147823	0.430915	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	1.67918
9.05878	0.590057	2.61416	0.232916	0.268809	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0.559706
9.02942	0.656748	2.68831	0.283907	0.287122	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	1.26848
11.5365	1.65444	2.86455	0.410038	0.176499	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	1.11109
11.5144	1.62052	2.79681	0.429257	0.222715	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0.505582
13.6076	2.32702	2.6575	0.378789	0.0526029	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	0.37673
13.6158	2.28987	2.67082	0.351278	0.0255341	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	0.577622
16.5829	2.89184	2.91363	0.023236	-0.198955	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	2.34598
16.5263	2.88257	2.88624	0.031141	-0.196064	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	0.840809
19.0095	3.69361	2.84183	0.39625	0.159092	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0.536161
19.0759	3.71951	2.78243	0.449344	0.228718	19.363	3.87122	18.923	3.74161	2.61382	0.95648	1.45814
21.324	4.73385	2.7838	0.460115	0.0891077	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.0985473
21.3853	4.7412	2.8802	0.407803	0.0135322	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	0.911832
24.0511	5.56479	2.97321	0.20547	-0.123817	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0.468978
24.1587	5.60081	3.10818	0.196493	-0.125737	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	3.26788
26.6083	6.95088	3.09358	0.613006	0.218527	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	0.477924
26.5975	6.93902	3.16397	0.553952	0.121726	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.181045
29.5476	8.07729	3.25937	0.254241	-0.152709	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	0.988281
29.5374	8.07637	3.19703	0.253525	-0.155814	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.124056
31.9468	9.86721	3.18792	0.799058	0.294588	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	0.825266
31.9036	9.84216	3.20595	0.759529	0.235481	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0.700704
34.6315	10.7467	2.78475	0.261249	-0.232406	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	2.43753
34.7233	10.7859	2.95206	0.253556	-0.223997	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	2.48318
37.1397	12.0766	2.9649	0.560613	0.119095	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	0.48184
37.2182	12.0951	3.09509	0.50825	0.0260302	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	1.74098
40.2774	13.4472	3.31249	0.303947	-0.12413	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	1.74428
40.2182	13.4292	3.19029	0.309326	-0.126395	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	1.06037
42.7643	14.8213	3.20677	0.564826	0.117878	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0.252967
42.7423	14.8125	3.25215	0.538642	0.0744939	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0.224113
45.338	16.5419	3.35199	0.597032	0.0625619	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0.289524
45.3868	16.5593	3.34296	0.603012	0.0832106	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	0.756239
